"page #",x,y,text
1,203.113333,2762.552133,"桃園市桃園區豐林里第1屆里長選舉 選舉公報"
1,1435.046933,2692.177067,桃園市選舉委員會編印
1,83.622400,2624.617200,桃園市桃園區豐林里第1屆里長選舉，經定於中華民國一百零三年十一月二十九日(星期六)上午八時起至下午四時止舉行
1,83.622400,2583.017200,投票。茲依公職人員選舉罷免法第47條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料係依據候選人所
1,83.622400,2541.417200,填列資料刊登，如有不實，由候選人自行負責。
1,83.622400,2480.870400,桃園市桃園區豐林里第1屆里長選舉候選人：
1,96.850267,1079.263067,"編號 投開票所名稱 投開票所地址 所屬村里 所屬鄰別"
1,96.850267,1063.807067,"0001 建國國小一年三班 昆明路95號 大林里 1,3,6,11,12,18,20,25"
1,96.850267,1049.364400,"0002 建德國小一年五班 延平路265號 大林里 21,26-29,32,33"
1,96.850267,1034.921733,"0003 建德國小一年七班 延平路265號 大林里 4,7,13,14,16,24"
1,96.850267,1020.479067,"0004 復興崗幼兒園企鵝班 大原路150號 大林里 2,5,15,17,19,22,30"
1,96.850267,1006.036400,"0005 復興崗幼兒園熊貓班 大原路150號 大林里 8"
1,96.850267,991.593733,"0006 建德國小一年二班 延平路265號 大林里 9,10,23,31"
1,96.850267,977.151067,"0007 建國國小一年五班 昆明路95號 大豐里 1-11"
1,96.850267,962.708400,"0008 建國國小一年六班 昆明路95號 大豐里 12-18"
1,96.850267,948.265733,"0009 建國國小一年八班 昆明路95號 大豐里 19-25"
1,96.850267,933.823067,"0010 宋天宮（辦公室） 桃鶯路87巷52號 建國里 1-5,7,8,12,16,17"
1,96.850267,919.380400,"0011 宋天宮（餐廳） 桃鶯路87巷52號 建國里 18-22,24-26"
1,96.850267,904.937733,"0012 建國公園管理中心 建成街88號 建國里 6,9-11,13-15,23"
1,96.850267,890.495067,"0013 大林寺 桃鶯路124號 雲林里 1-9"
1,96.850267,876.052400,"0014 建國國小六年一班(B103) 昆明路95號 雲林里 10-15"
1,96.850267,860.276400,"0015 建國國小六年三班(B101) 昆明路95號 雲林里 16-21,26"
1,96.850267,844.500400,"0016 建國國小四年一班(D104) 昆明路95號 雲林里 22-25"
1,96.850267,830.057733,"0017 建國國小五年十班 昆明路95號 福安里 1-7,9-11,19"
1,96.850267,815.615067,"0018 建國國小三年十班 昆明路95號 福安里 16-18,23-27"
1,96.850267,801.172400,"0019 陽明公園管理中心 介壽路199號 福安里 8,12-15,20-22"
1,96.850267,786.729733,"0020 建國國中三年二十二班 介新街20號 福林里 1-9"
1,96.850267,772.287067,"0021 建國國中二年五班 介新街20號 福林里 10-20"
1,96.850267,757.844400,"0022 建國國中二年二十班 介新街20號 福林里 21-30"
1,96.850267,743.401733,"0023 葉建成宅 永美街71號 豐林里 1,12,20-22,32"
1,96.850267,728.959067,"0024 陽明公園管理中心 介壽路199號 豐林里 2,4,5,13-15,23,33,35,36"
1,96.850267,714.516400,"0025 盧嘉雄宅 保羅街181號 豐林里 3,8-10,16,17,27-31"
1,96.850267,700.073733,"0026 楊柳川宅 青田街148號 豐林里 6,7,11,18,19,24-26,34,37"
1,96.850267,685.631067,"0027 天主教堂 永樂街147號 中和里 1-14"
1,96.850267,671.188400,"0028 桃園國中和平樓七年2班 莒光街2號 中興里 1-11"
1,96.850267,656.745733,"0029 桃園國中信義樓八年2班 莒光街2號 中興里 12-24"
1,96.850267,642.303067,"0030 桃園國中四維樓九年20班 莒光街2號 中興里 25-35"
1,96.850267,627.860400,"0031 桃園國小三年六班 民權路67號 文化里 1-8"
1,96.850267,613.417733,"0032 桃園國小自然教室（一） 民權路67號 文昌里 1-10"
1,96.850267,598.975067,"0033 桃園國小課後照顧班 民權路67號（民族路後門） 文明里 1-13"
