"page #",x,y,text
1,158.7391995,1386.7974,投票方法及投票應行注意事項
1,158.7391995,1421.4694005,一、選舉人資格：
1,205.2271995,1455.7414005,中華民國國民年滿二十歲，即民國八十三年十一月二十九日（包括當日）以前出生，除受監護宣告
1,205.2271995,1484.3494005,尚未撤銷者外，在各該選舉區內繼續居住四個月以上，即民國一百零三年七月二十九日（包括當
1,205.2271995,1512.9574005,日）以前遷入設有戶籍，至民國一百零三年十一月二十八日繼續居住者，有里長選舉投票權。
1,158.7391995,1547.2294005,二、選舉人投票應行注意事項：
1,205.2271995,1581.5014005,1.投票時間：民國一百零三年十一月二十九日（星期六）上午八時起至下午四時止。
1,205.2271995,1615.7734005,2.投開票地點（見投開票所一覽表）。
1,205.2271995,1650.0454005,"3. 投票時攜帶本人國民身分證、印章及投票通知單；未攜帶投票通知單者，務請記住投票通知單上"
1,222.9151995,1678.6534005,之號碼，於領票時告知發票管理員（如國民身分證選舉人已申請換證但逾期未領新證之民眾，請
1,222.9151995,1707.2614005,儘早於投票日前領證，選舉人如國民身分證遺失，請於投票日前儘速向戶籍地戶政事務所申請補
1,222.9151995,1735.8694005,發，投票日當天戶政事務所不受理申請補發）。
1,205.2271995,1770.1414005,"4. 選舉人應於規定之投票時間內到場投票，逾時不許入場，但已於規定"
1,957.0202005,1770.0850005,時間內到場，尚未投票者仍
1,222.9151995,1798.6930005,可投票。選舉人應一次進入投票所投票，離開投票所後，不得再次進入投票所投票。
1,205.2271995,1832.9650005,"5. 選舉人或其陪同家屬不得攜帶手機及其他攝影器材進入投票所，違反者依公職人員選舉罷免法第"
1,222.9151995,1861.5730005,一百零六條第一項規定，處新臺幣三萬元以上三十萬元以下罰鍰。
1,205.2271995,1895.8450005,"6. 任何人不得於投票所以攝影器材刺探選舉人圈選選舉票內容。違反者依公職人員選舉罷免法第"
1,222.9151995,1924.4530005,一百零六條第二項規定，處五年以下有期徒刑，併科新臺幣五十萬元以下罰金，查獲之攝影器材
1,222.9151995,1953.0610005,沒收之。
1,205.2271995,1987.3330005,"7. 選舉人圈選後，不得將圈選內容出示他人，違者依公職人員選舉罷免法第一百零五條規定，處二"
1,222.9151995,2015.9410005,年以下有期徒刑、拘役或科新臺幣二十萬元以下罰金。
1,205.2271995,2050.2130005,"8. 在投票所或開票所有下列情事之一者，經投票所主任管理員會同主任監察員令其退出，而不退出"
1,222.9151995,2078.8210005,者，依公職人員選舉罷免法第一百零五條之規定，處二年以下有期徒刑、拘役或科新臺幣二十萬
1,222.9151995,2107.4290005,元以下罰金：
1,209.3722005,2141.7010005,（1）在場喧嚷或干擾勸誘他人投票或不投票，不服制止
1,797.7628005,2141.6314005,。
1,209.3722005,2175.9034005,（2）攜帶武器或危險物品入場。
1,209.3722005,2210.1754005,（3）有其他不正當行為，不服制止。
1,205.2271995,2244.4474005,"9. 選舉人領得選舉票後，應立即使用選舉機關製備之圈選工具，自行圈選，並將選舉票摺疊投入票"
1,222.9151995,2273.0554005,匭，不得逗留；如將選舉票攜出投票所者，依公職人員選舉罷免法第一百零八條第一項規定，處
1,222.9151995,2301.6634005,一年以下有期徒刑、拘役或科新臺幣一萬五千元以下罰金；如將選舉票以外之物投入票匭，或故
1,222.9151995,2330.2714005,意撕毀領得之選舉票者，依公職人員選舉罷免法第一百一十條第八項之規定，處新臺幣五千元以
1,222.9151995,2358.8794005,上五萬元以下罰鍰。
1,205.2271995,2393.1514005,"10. 在投票所四周三十公尺內，喧嚷或干擾勸誘他人投票或不投票，經警衛人員制止後仍繼續為之"
1,234.5308005,2421.7594005,者，依公職人員選舉罷免法第一百零八條第二項規定，處一年以下有期徒刑、拘役或科新臺幣一
1,234.5308005,2450.3674005,萬五千元以下罰金。
1,158.7391995,2484.6394005,三、選舉票顏色：粉紅色。
1,158.7391995,2518.9114005,四、選舉票有下列情事之一者無效：
1,205.2271995,2553.1834005,1.圈選二人以上。
1,205.2271995,2587.4554005,2.不用選舉委員會製發之選舉票。
1,205.2271995,2621.7274005,3.所圈位置不能辨別為何人。
1,205.2271995,2655.9994005,4.圈後加以塗改。
1,205.2271995,2690.2714005,5.簽名、蓋章、按指印、加入任
1,535.2271995,2690.1937995,何文字或符號。
1,205.2271995,2724.4657995,6.將選舉票撕破致不完整。
1,205.2271995,2758.7377995,7.將選舉票污染致不能辨別所圈選為何人。
1,205.2271995,2793.0097995,8.不加圈完全空白。
1,205.2271995,2827.2817995,9.不用選舉委員會製備之圈選工具。
1,158.7391995,2861.5537995,五、選舉票圈選示範圖如右：
1,1278.4351995,1384.3777995,六、妨害選舉之處罰：
1,1278.4351995,1411.9147995,1.妨害選舉罷免處罰（摘錄公職人員選舉罷免法第五章有關規定）
1,1293.1642005,1442.8948005,"第九十四條　 利用競選或助選機會，公然聚眾，以暴動破壞社會秩序者，處七年以上有期徒刑；首謀者，處無期徒刑或十"
1,1413.1242,1468.2148005,年以上有期徒刑。
1,1413.1242,1499.1948,前項之未遂犯罰之。
1,1293.1642005,1530.1747995,"第九十五條　 意圖妨害選舉或罷免，對於公務員依法執行職務時，施強暴脅迫者，處五年以下有期徒刑。"
1,1413.1242,1561.1548005,犯前項之罪，因而致公務員於死者，處無期徒刑或七年以上有期徒刑；致重傷者，處三年以上十年以下有期
1,1413.1242,1586.4748005,徒刑。
1,1293.1642005,1617.4548,"第九十六條　 公然聚眾，犯前條之罪者，在場助勢之人，處三年以下有期徒刑、拘役或科新臺幣三十萬元以下罰金；首謀"
1,1413.1242,1642.7748,及下手實施強暴脅迫者，處三年以上十年以下有期徒刑。
1,1413.1242,1673.7547995,犯前項之罪，因而致公務員於死者，首謀及下手實施強暴脅迫者，處無期
