"page #",x,y,text
1,203.113333,2762.552133,"桃園市桃園區中興里第1屆里長選舉 選舉公報"
1,1435.046933,2692.177067,桃園市選舉委員會編印
1,83.622400,2624.617200,桃園市桃園區中興里第1屆里長選舉，經定於中華民國一百零三年十一月二十九日(星期六)上午八時起至下午四時止舉行
1,83.622400,2583.017200,投票。茲依公職人員選舉罷免法第47條規定，將候選人所填之政見及個人資料刊登如下，候選人個人資料係依據候選人所
1,83.622400,2541.417200,填列資料刊登，如有不實，由候選人自行負責。
1,83.622400,2480.870400,桃園市桃園區中興里第1屆里長選舉候選人：
1,460.241600,25.604133,神聖一票，絕不放棄。
1,96.850267,1116.680933,"編號 投開票所名稱 投開票所地址 所屬村里 所屬鄰別"
1,96.850267,1101.224933,"0001 建國國小一年三班 昆明路95號 大林里 1,3,6,11,12,18,20,25"
1,96.850267,1086.782267,"0002 建德國小一年五班 延平路265號 大林里 21,26-29,32,33"
1,96.850267,1072.339600,"0003 建德國小一年七班 延平路265號 大林里 4,7,13,14,16,24"
1,96.850267,1057.896933,"0004 復興崗幼兒園企鵝班 大原路150號 大林里 2,5,15,17,19,22,30"
1,96.850267,1043.454267,"0005 復興崗幼兒園熊貓班 大原路150號 大林里 8"
1,96.850267,1029.011600,"0006 建德國小一年二班 延平路265號 大林里 9,10,23,31"
1,96.850267,1014.568933,"0007 建國國小一年五班 昆明路95號 大豐里 1-11"
1,96.850267,1000.126267,"0008 建國國小一年六班 昆明路95號 大豐里 12-18"
1,96.850267,985.683600,"0009 建國國小一年八班 昆明路95號 大豐里 19-25"
1,96.850267,971.240933,"0010 宋天宮（辦公室） 桃鶯路87巷52號 建國里 1-5,7,8,12,16,17"
1,96.850267,956.798267,"0011 宋天宮（餐廳） 桃鶯路87巷52號 建國里 18-22,24-26"
1,96.850267,942.355600,"0012 建國公園管理中心 建成街88號 建國里 6,9-11,13-15,23"
1,96.850267,927.912933,"0013 大林寺 桃鶯路124號 雲林里 1-9"
1,96.850267,913.470267,"0014 建國國小六年一班(B103) 昆明路95號 雲林里 10-15"
1,96.850267,897.694267,"0015 建國國小六年三班(B101) 昆明路95號 雲林里 16-21,26"
1,96.850267,881.918267,"0016 建國國小四年一班(D104) 昆明路95號 雲林里 22-25"
1,96.850267,867.475600,"0017 建國國小五年十班 昆明路95號 福安里 1-7,9-11,19"
1,96.850267,853.032933,"0018 建國國小三年十班 昆明路95號 福安里 16-18,23-27"
1,96.850267,838.590267,"0019 陽明公園管理中心 介壽路199號 福安里 8,12-15,20-22"
1,96.850267,824.147600,"0020 建國國中三年二十二班 介新街20號 福林里 1-9"
1,96.850267,809.704933,"0021 建國國中二年五班 介新街20號 福林里 10-20"
1,96.850267,795.262267,"0022 建國國中二年二十班 介新街20號 福林里 21-30"
1,96.850267,780.819600,"0023 葉建成宅 永美街71號 豐林里 1,12,20-22,32"
1,96.850267,766.376933,"0024 陽明公園管理中心 介壽路199號 豐林里 2,4,5,13-15,23,33,35,36"
1,96.850267,751.934267,"0025 盧嘉雄宅 保羅街181號 豐林里 3,8-10,16,17,27-31"
1,96.850267,737.491600,"0026 楊柳川宅 青田街148號 豐林里 6,7,11,18,19,24-26,34,37"
1,96.850267,723.048933,"0027 天主教堂 永樂街147號 中和里 1-14"
1,96.850267,708.606267,"0028 桃園國中和平樓七年2班 莒光街2號 中興里 1-11"
1,96.850267,694.163600,"0029 桃園國中信義樓八年2班 莒光街2號 中興里 12-24"
1,96.850267,679.720933,"0030 桃園國中四維樓九年20班 莒光街2號 中興里 25-35"
1,96.850267,665.278267,"0031 桃園國小三年六班 民權路67號 文化里 1-8"
1,96.850267,650.835600,"0032 桃園國小自然教室（一） 民權路67號 文昌里 1-10"
1,96.850267,636.392933,"0033 桃園國小課後照顧班 民權路67號（民族路後門） 文明里 1-13"
1,96.850267,621.950267,"0034 林翁謙宅 北新街16號 北門里 1-14"
1,96.850267,607.507600,"0035 東門國小二年二班 東國街14號 民生里 1-14"
1,96.850267,593.064933,"0036 成功國小東前棟一樓專科教室 三民路三段22號 永興里 1-15"
1,96.850267,578.622267,"0037 西門國小一年二班 莒光街15號 光興里 1-13"
1,96.850267,564.179600,"0038 西門國小一年三班 莒光街15號 光興里 14-25"
1,96.850267,549.736933,"0039 西門國小一年四班 莒光街15號 光興里 26-37"
1,96.850267,535.294267,"0040 西門國小一年六班 莒光街15號 西門里 1-12"
1,96.850267,520.851600,"0041 西門國小一年八班 莒光街15號 西湖里 1-12"
